,movie,vid_ids,views,likes,dislikes,comments
0,Avatar,5PSNL1qE6VY,8611952,45703,2137,7631
1,Pirates of the Caribbean: At World's End,HKSZtp_OGHY,2678687,16962,302,0
2,Spectre,ujmoYyEyDP8,5721876,14116,353,673
3,The Dark Knight Rises,GokKUqLcvD8,38826999,118022,3683,49919
4,John Carter,nlvYKl1fjBI,5065037,11752,748,652
5,Spider-Man 3,JfVOs4VSpmA,49515185,2540252,20927,168769
6,Tangled,2f516ZLyC6U,5794278,9735,1378,129
7,Avengers: Age of Ultron,tmeOjFno6Do,91222634,697841,14993,83173
8,Harry Potter and the Half-Blood Prince,tAiy66Xrsz4,379657,4723,60,192
9,Batman v Superman: Dawn of Justice,0WWzgGyAH6Y,76908618,505755,20677,91153
10,Superman Returns,bRqAUqAFhNw,2301694,11584,655,1688
11,Quantum of Solace,BBqYaFEWBxI,1695993,8401,290,391
12,Pirates of the Caribbean: Dead Man's Chest,6-NGPgX-uYA,212349,2498,42,85
13,The Lone Ranger,JjFsNSoDZK8,9553638,27741,1213,0
14,Man of Steel,T6DJcgm3wNY,47767670,207781,7608,61249
15,The Chronicles of Narnia: Prince Caspian,9Q0Da4jlxBk,1990351,7742,404,340
16,The Avengers,eOrNdBpGMv8,35598462,260878,5082,41128
17,Pirates of the Caribbean: On Stranger Tides,KR_9A-cUEJc,11735223,31600,891,5901
18,Men in Black 3,IyaFEBI_L24,18279721,72573,1447,11407
19,The Hobbit: The Battle of the Five Armies,iVAgTiBrrDA,23484813,109498,2963,12502
20,The Amazing Spider-Man,-tnxzJ0SSOw,15786610,68356,4802,18778
21,Robin Hood,zwPn9ZnbCo0,16212102,62204,5093,5265
22,The Hobbit: The Desolation of Smaug,OPVWy1tFXuc,7882699,33099,1118,3843
23,The Golden Compass,LHYoOGfBObU,238155,1738,69,140
24,King Kong,AYaTCPbYGdk,3676733,10121,726,1125
25,Titanic,kVrqfYjkTdQ,3870822,30871,859,1790
26,Captain America: Civil War,FkTybqcX-Yo,29855226,116944,4746,12552
27,Battleship,cp3646Zf8rg,5842203,14690,969,3710
28,Jurassic World,RFinNxS5KN4,91566651,359906,18132,47681
